Year,County Name,Age Group,Victims
2014,Lyon,6 to 10 Years Old,3
2005,Van Buren,5 Years Old and Younger,10
2011,Worth,5 Years Old and Younger,6
2013,Appanoose,11 Years Old and Older,12
2009,Adams,6 to 10 Years Old,2
2011,Louisa,6 to 10 Years Old,19
2010,Montgomery,11 Years Old and Older,19
2007,Lyon,11 Years Old and Older,6
2014,Marshall,5 Years Old and Younger,72
2012,Keokuk,5 Years Old and Younger,8
2010,Taylor,6 to 10 Years Old,7
2006,Muscatine,5 Years Old and Younger,166
2005,Dubuque,11 Years Old and Older,100
2010,Scott,5 Years Old and Younger,407
2013,Wright,5 Years Old and Younger,51
2010,Bremer,5 Years Old and Younger,23
2012,Franklin,5 Years Old and Younger,19
2005,Calhoun,11 Years Old and Older,9
2004,Van Buren,6 to 10 Years Old,10
2017,Polk,6 to 10 Years Old,441
2011,Ringgold,5 Years Old and Younger,5
2012,Marion,5 Years Old and Younger,45
2005,Marshall,5 Years Old and Younger,109
2012,Fremont,11 Years Old and Older,11
2011,Warren,11 Years Old and Older,57
2006,Cedar,11 Years Old and Older,16
2011,Madison,5 Years Old and Younger,13
2014,Warren,6 to 10 Years Old,28
2010,Monona,6 to 10 Years Old,12
2005,Emmet,11 Years Old and Older,17
2011,Chickasaw,5 Years Old and Younger,20
2007,Adams,6 to 10 Years Old,6
2004,Lucas,11 Years Old and Older,14
2005,Cherokee,6 to 10 Years Old,14
2004,Clarke,11 Years Old and Older,17
2013,Ringgold,11 Years Old and Older,7
2015,Jones,6 to 10 Years Old,7
2004,Johnson,5 Years Old and Younger,139
2016,OBrien,5 Years Old and Younger,19
2008,Washington,11 Years Old and Older,16
2007,Clay,5 Years Old and Younger,51
2007,OBrien,11 Years Old and Older,21
2008,Clayton,11 Years Old and Older,11
2017,Shelby,5 Years Old and Younger,22
2016,Cass,6 to 10 Years Old,15
2014,Adair,6 to 10 Years Old,3
2017,Jones,11 Years Old and Older,19
2004,Ringgold,5 Years Old and Younger,8
2008,Benton,6 to 10 Years Old,19
2008,Plymouth,6 to 10 Years Old,16
2005,Cerro Gordo,5 Years Old and Younger,146
2011,Henry,5 Years Old and Younger,47
2008,Mitchell,11 Years Old and Older,8
2011,Sac,11 Years Old and Older,3
2011,Bremer,5 Years Old and Younger,23
2006,Pocahontas,5 Years Old and Younger,16
2013,Carroll,5 Years Old and Younger,44
2004,Union,11 Years Old and Older,15
2010,Marion,11 Years Old and Older,26
2011,Kossuth,11 Years Old and Older,8
2012,Greene,5 Years Old and Younger,20
2010,Harrison,5 Years Old and Younger,37
2008,Winnebago,6 to 10 Years Old,5
2007,Dubuque,5 Years Old and Younger,218
2006,Mitchell,11 Years Old and Older,15
2004,Chickasaw,5 Years Old and Younger,12
2017,Boone,11 Years Old and Older,30
2008,Polk,11 Years Old and Older,260
2009,Webster,11 Years Old and Older,66
2012,Warren,6 to 10 Years Old,44
2007,Boone,5 Years Old and Younger,30
2005,Warren,11 Years Old and Older,29
2004,Page,6 to 10 Years Old,17
2010,Lucas,11 Years Old and Older,12
2012,Lee,11 Years Old and Older,28
2013,Howard,5 Years Old and Younger,21
2013,Clayton,11 Years Old and Older,18
2009,Hancock,5 Years Old and Younger,12
2011,Adams,11 Years Old and Older,13
2017,Buchanan,11 Years Old and Older,15
2014,Delaware,6 to 10 Years Old,15
2007,Buena Vista,6 to 10 Years Old,22
2014,Van Buren,11 Years Old and Older,5
2005,Monona,5 Years Old and Younger,14
2011,Monona,6 to 10 Years Old,10
2011,Mills,5 Years Old and Younger,19
2005,Harrison,5 Years Old and Younger,27
2004,Madison,11 Years Old and Older,20
2012,Lee,5 Years Old and Younger,118
2009,Palo Alto,6 to 10 Years Old,11
2006,Jefferson,5 Years Old and Younger,36
2007,Scott,5 Years Old and Younger,498
2004,Grundy,5 Years Old and Younger,15
2008,Emmet,6 to 10 Years Old,12
2008,Sioux,11 Years Old and Older,17
2006,Palo Alto,6 to 10 Years Old,12
2009,Webster,6 to 10 Years Old,55
2013,Crawford,5 Years Old and Younger,30
2008,Winnebago,5 Years Old and Younger,9
2006,Warren,6 to 10 Years Old,43
2007,Ida,11 Years Old and Older,3
2014,Allamakee,6 to 10 Years Old,9
2017,Sac,5 Years Old and Younger,9
2006,Crawford,6 to 10 Years Old,16
2015,Shelby,6 to 10 Years Old,7
2010,Woodbury,6 to 10 Years Old,117
2011,Jones,11 Years Old and Older,21
2017,Tama,5 Years Old and Younger,49
2017,Fremont,5 Years Old and Younger,14
2007,Muscatine,6 to 10 Years Old,73
2006,Osceola,5 Years Old and Younger,12
2015,Grundy,11 Years Old and Older,9
2010,Decatur,6 to 10 Years Old,12
2013,Iowa,11 Years Old and Older,4
2010,OBrien,5 Years Old and Younger,36
2007,Crawford,11 Years Old and Older,15
2010,Cedar,11 Years Old and Older,18
2008,Tama,5 Years Old and Younger,53
2006,Ringgold,6 to 10 Years Old,6
2017,Poweshiek,11 Years Old and Older,13
2016,Worth,5 Years Old and Younger,6
2011,Audubon,5 Years Old and Younger,27
2017,OBrien,5 Years Old and Younger,24
2012,Story,6 to 10 Years Old,56
2009,Page,6 to 10 Years Old,18
2014,Calhoun,5 Years Old and Younger,7
2007,Des Moines,6 to 10 Years Old,43
2008,Van Buren,6 to 10 Years Old,4
2004,Decatur,5 Years Old and Younger,16
2005,Hardin,6 to 10 Years Old,17
2012,Adair,5 Years Old and Younger,7
2012,Van Buren,6 to 10 Years Old,5
2009,Polk,5 Years Old and Younger,797
2013,Dubuque,5 Years Old and Younger,197
2012,Franklin,6 to 10 Years Old,13
2006,Page,6 to 10 Years Old,26
2014,Polk,5 Years Old and Younger,645
2015,Ida,6 to 10 Years Old,6
2011,Story,11 Years Old and Older,54
2008,Buchanan,5 Years Old and Younger,20
2005,Cass,11 Years Old and Older,12
2013,Emmet,6 to 10 Years Old,16
2010,Washington,5 Years Old and Younger,35
2010,Mills,5 Years Old and Younger,15
2010,Franklin,6 to 10 Years Old,16
2009,Wayne,11 Years Old and Older,2
2004,Hamilton,5 Years Old and Younger,22
2010,Kossuth,11 Years Old and Older,14
2007,Wayne,6 to 10 Years Old,6
2010,Marion,6 to 10 Years Old,19
2007,Webster,6 to 10 Years Old,40
2011,Butler,6 to 10 Years Old,11
2005,Clinton,11 Years Old and Older,47
2004,Sioux,6 to 10 Years Old,24
2013,Jasper,6 to 10 Years Old,74
2011,Appanoose,11 Years Old and Older,15
2013,Linn,6 to 10 Years Old,163
2010,Howard,6 to 10 Years Old,4
