Year,County Name,Age Group,Victims
2005,Wayne,6 to 10 Years Old,13
2010,Monona,5 Years Old and Younger,13
2007,Decatur,11 Years Old and Older,9
2009,Madison,11 Years Old and Older,9
2012,Madison,6 to 10 Years Old,15
2004,Henry,11 Years Old and Older,37
2004,Poweshiek,6 to 10 Years Old,21
2013,Union,5 Years Old and Younger,51
2015,Ringgold,11 Years Old and Older,2
2017,Lucas,5 Years Old and Younger,17
2005,Osceola,11 Years Old and Older,5
2006,Page,11 Years Old and Older,15
2014,Union,11 Years Old and Older,8
2007,Warren,5 Years Old and Younger,72
2013,OBrien,11 Years Old and Older,12
2017,Clay,6 to 10 Years Old,29
2004,Cedar,11 Years Old and Older,13
2006,Montgomery,6 to 10 Years Old,15
2010,Monona,11 Years Old and Older,5
2010,Sioux,6 to 10 Years Old,11
2011,Mahaska,5 Years Old and Younger,62
2007,Shelby,6 to 10 Years Old,10
2014,Kossuth,5 Years Old and Younger,7
2008,Webster,11 Years Old and Older,51
2017,Decatur,5 Years Old and Younger,11
2006,Ringgold,11 Years Old and Older,11
2005,Clay,6 to 10 Years Old,29
2009,Clayton,6 to 10 Years Old,4
2017,Montgomery,6 to 10 Years Old,17
2009,Buchanan,11 Years Old and Older,15
2014,Ida,5 Years Old and Younger,18
2004,Dickinson,6 to 10 Years Old,22
2014,Jefferson,11 Years Old and Older,3
2016,Adams,6 to 10 Years Old,6
2015,Monroe,5 Years Old and Younger,6
2008,Clarke,11 Years Old and Older,13
2005,Woodbury,11 Years Old and Older,136
2005,Ida,6 to 10 Years Old,7
2017,Pottawattamie,5 Years Old and Younger,226
2010,Kossuth,6 to 10 Years Old,9
2017,Buchanan,6 to 10 Years Old,12
2008,Wapello,6 to 10 Years Old,71
2008,Chickasaw,5 Years Old and Younger,16
2009,Page,11 Years Old and Older,17
2016,Cherokee,5 Years Old and Younger,12
2007,Bremer,5 Years Old and Younger,27
2016,Hardin,11 Years Old and Older,11
2007,Polk,6 to 10 Years Old,445
2009,Van Buren,5 Years Old and Younger,9
2008,Dickinson,6 to 10 Years Old,18
2012,Story,5 Years Old and Younger,94
2011,Fremont,5 Years Old and Younger,5
2004,Plymouth,11 Years Old and Older,14
2011,Kossuth,5 Years Old and Younger,26
2006,Winneshiek,6 to 10 Years Old,11
2010,Tama,11 Years Old and Older,30
2010,Clay,6 to 10 Years Old,27
2012,Humboldt,6 to 10 Years Old,10
2013,Fayette,6 to 10 Years Old,10
2009,Marshall,11 Years Old and Older,58
2010,Crawford,6 to 10 Years Old,12
2012,Clayton,11 Years Old and Older,15
2014,Sioux,5 Years Old and Younger,13
2007,Mills,6 to 10 Years Old,17
2008,Osceola,5 Years Old and Younger,16
2012,Osceola,5 Years Old and Younger,1
2009,Henry,6 to 10 Years Old,25
2004,Pottawattamie,5 Years Old and Younger,249
2012,Chickasaw,6 to 10 Years Old,10
2014,Butler,5 Years Old and Younger,6
2014,Grundy,5 Years Old and Younger,3
2008,Webster,6 to 10 Years Old,45
2011,Kossuth,6 to 10 Years Old,19
2005,Sac,6 to 10 Years Old,10
2009,Lyon,11 Years Old and Older,12
2013,Crawford,11 Years Old and Older,13
2016,Dallas,6 to 10 Years Old,22
2004,Appanoose,6 to 10 Years Old,44
2004,Calhoun,11 Years Old and Older,10
2011,Keokuk,11 Years Old and Older,13
2014,Dubuque,5 Years Old and Younger,82
2004,Emmet,11 Years Old and Older,18
2004,Muscatine,6 to 10 Years Old,76
2011,Clay,11 Years Old and Older,12
2014,Plymouth,11 Years Old and Older,6
2004,Winnebago,6 to 10 Years Old,14
2007,Plymouth,11 Years Old and Older,11
2014,Keokuk,11 Years Old and Older,11
2009,Keokuk,6 to 10 Years Old,10
2006,Winnebago,6 to 10 Years Old,10
2008,Marion,5 Years Old and Younger,42
2017,Calhoun,11 Years Old and Older,10
2012,Dallas,6 to 10 Years Old,44
2006,Calhoun,5 Years Old and Younger,19
2004,Jones,5 Years Old and Younger,20
2008,Plymouth,5 Years Old and Younger,34
2013,Ringgold,6 to 10 Years Old,5
2013,Story,11 Years Old and Older,54
2006,Taylor,5 Years Old and Younger,6
2012,Linn,6 to 10 Years Old,168
2008,Grundy,11 Years Old and Older,9
2013,Boone,6 to 10 Years Old,33
2007,Muscatine,5 Years Old and Younger,112
2004,Winneshiek,5 Years Old and Younger,19
2013,Plymouth,6 to 10 Years Old,31
2010,Buena Vista,11 Years Old and Older,16
2008,Montgomery,5 Years Old and Younger,22
2004,Humboldt,6 to 10 Years Old,8
2010,Ringgold,6 to 10 Years Old,3
2010,Shelby,5 Years Old and Younger,13
2011,Clay,5 Years Old and Younger,48
2013,Harrison,11 Years Old and Older,13
2007,Dickinson,11 Years Old and Older,18
2004,Appanoose,11 Years Old and Older,18
2008,Keokuk,11 Years Old and Older,6
2008,Cedar,11 Years Old and Older,11
2004,Delaware,5 Years Old and Younger,45
2016,Grundy,6 to 10 Years Old,5
2014,Hardin,5 Years Old and Younger,18
2005,Grundy,6 to 10 Years Old,3
2005,Guthrie,5 Years Old and Younger,16
2004,Allamakee,6 to 10 Years Old,13
2007,Woodbury,11 Years Old and Older,115
2007,Cherokee,6 to 10 Years Old,12
2013,Adair,5 Years Old and Younger,18
2005,Webster,6 to 10 Years Old,55
2007,Lee,6 to 10 Years Old,56
2012,Adams,11 Years Old and Older,6
2004,Fayette,11 Years Old and Older,29
2013,Benton,11 Years Old and Older,17
2016,Pottawattamie,5 Years Old and Younger,202
2008,Clay,5 Years Old and Younger,75
2005,Clarke,6 to 10 Years Old,14
2005,Chickasaw,11 Years Old and Older,7
2014,Chickasaw,5 Years Old and Younger,13
2004,Taylor,5 Years Old and Younger,6
2009,Poweshiek,11 Years Old and Older,23
2008,Monroe,11 Years Old and Older,7
2004,Van Buren,5 Years Old and Younger,12
2005,Chickasaw,6 to 10 Years Old,14
2009,Madison,6 to 10 Years Old,12
2004,Floyd,5 Years Old and Younger,49
2017,Louisa,6 to 10 Years Old,14
2010,Poweshiek,11 Years Old and Older,23
2008,Allamakee,11 Years Old and Older,6
2005,Cedar,6 to 10 Years Old,23
2011,Woodbury,11 Years Old and Older,102
2009,Dallas,5 Years Old and Younger,61
2005,Marion,6 to 10 Years Old,18
2015,Butler,6 to 10 Years Old,7
2008,Woodbury,5 Years Old and Younger,274
2011,Davis,5 Years Old and Younger,10
2008,Hardin,11 Years Old and Older,17
2006,Keokuk,5 Years Old and Younger,41
2011,Pottawattamie,5 Years Old and Younger,207
2006,Harrison,5 Years Old and Younger,25
2005,Calhoun,6 to 10 Years Old,14
2016,Black Hawk,11 Years Old and Older,61
2011,Appanoose,6 to 10 Years Old,19
2010,Mitchell,6 to 10 Years Old,17
2014,Warren,5 Years Old and Younger,33
2008,Clinton,5 Years Old and Younger,123
2008,Muscatine,5 Years Old and Younger,103
2017,Linn,6 to 10 Years Old,155
2014,Decatur,6 to 10 Years Old,11
2006,Johnson,6 to 10 Years Old,80
2008,Cherokee,5 Years Old and Younger,12
2011,Jefferson,11 Years Old and Older,8
2005,Crawford,6 to 10 Years Old,29
2010,Monroe,5 Years Old and Younger,19
2005,Mills,6 to 10 Years Old,3
2015,Winnebago,5 Years Old and Younger,6
2017,Appanoose,5 Years Old and Younger,33
2006,Mitchell,6 to 10 Years Old,8
2007,Cerro Gordo,5 Years Old and Younger,139
2011,Warren,5 Years Old and Younger,62
2008,Marshall,5 Years Old and Younger,106
2007,Webster,11 Years Old and Older,50
2005,Poweshiek,11 Years Old and Older,14
2015,Boone,5 Years Old and Younger,41
2005,Clayton,6 to 10 Years Old,21
2005,Tama,5 Years Old and Younger,45
2005,Pottawattamie,5 Years Old and Younger,232
2005,Cedar,11 Years Old and Older,12
2010,Lucas,6 to 10 Years Old,16
2013,Wayne,11 Years Old and Older,4
2009,Sac,6 to 10 Years Old,8
2015,Cedar,11 Years Old and Older,8
2007,Tama,11 Years Old and Older,22
2004,Iowa,5 Years Old and Younger,18
2012,Polk,5 Years Old and Younger,905
2017,Palo Alto,6 to 10 Years Old,7
2017,Boone,6 to 10 Years Old,21
2009,Emmet,5 Years Old and Younger,31
2017,Franklin,11 Years Old and Older,14
2017,Davis,6 to 10 Years Old,10
2007,Clay,11 Years Old and Older,13
2007,Cedar,6 to 10 Years Old,22
2010,Taylor,11 Years Old and Older,2
2005,Clinton,6 to 10 Years Old,37
2008,Jefferson,6 to 10 Years Old,8
2010,Buchanan,5 Years Old and Younger,24
2017,Audubon,6 to 10 Years Old,9
2012,Winnebago,6 to 10 Years Old,9
2017,Clayton,5 Years Old and Younger,11
2006,Dickinson,6 to 10 Years Old,18
2006,Chickasaw,5 Years Old and Younger,23
2006,Emmet,11 Years Old and Older,18
2007,Osceola,6 to 10 Years Old,9
2017,Linn,11 Years Old and Older,168
2005,Scott,11 Years Old and Older,159
2010,Greene,6 to 10 Years Old,19
2008,Audubon,5 Years Old and Younger,28
2009,Osceola,6 to 10 Years Old,10
2005,Black Hawk,6 to 10 Years Old,190
2016,Worth,6 to 10 Years Old,2
2005,Woodbury,5 Years Old and Younger,292
2006,Black Hawk,6 to 10 Years Old,204
2006,Webster,11 Years Old and Older,55
2014,Louisa,5 Years Old and Younger,2
2017,Henry,6 to 10 Years Old,28
2010,Dubuque,11 Years Old and Older,75
2012,Webster,5 Years Old and Younger,123
2012,Iowa,11 Years Old and Older,3
2006,Humboldt,11 Years Old and Older,3
2004,Warren,5 Years Old and Younger,50
2007,Madison,5 Years Old and Younger,25
2006,Cherokee,5 Years Old and Younger,17
2006,Appanoose,11 Years Old and Older,23
2010,Fremont,6 to 10 Years Old,5
2014,Boone,6 to 10 Years Old,17
2008,Winneshiek,6 to 10 Years Old,5
2009,Muscatine,5 Years Old and Younger,118
2017,Wayne,5 Years Old and Younger,5
2005,Scott,5 Years Old and Younger,396
2005,Page,11 Years Old and Older,19
2012,Woodbury,5 Years Old and Younger,217
2010,Allamakee,5 Years Old and Younger,23
2017,Clinton,11 Years Old and Older,66
2009,Appanoose,11 Years Old and Older,24
2017,Page,5 Years Old and Younger,39
2007,Butler,6 to 10 Years Old,9
2008,Poweshiek,11 Years Old and Older,18
2012,Wapello,6 to 10 Years Old,69
2014,Monona,6 to 10 Years Old,5
2017,Wayne,11 Years Old and Older,7
2004,Montgomery,5 Years Old and Younger,36
2008,Hancock,11 Years Old and Older,9
2006,Scott,5 Years Old and Younger,423
2013,Hamilton,6 to 10 Years Old,30
2009,Delaware,5 Years Old and Younger,24
2009,Buchanan,5 Years Old and Younger,22
2009,Washington,11 Years Old and Older,12
2006,Wright,5 Years Old and Younger,34
2011,Pocahontas,6 to 10 Years Old,6
2016,Fremont,5 Years Old and Younger,12
2017,Greene,6 to 10 Years Old,7
2013,Louisa,11 Years Old and Older,12
2014,Poweshiek,5 Years Old and Younger,21
2007,Lee,11 Years Old and Older,57
2008,Winneshiek,5 Years Old and Younger,12
2004,Page,11 Years Old and Older,21
2006,Jones,5 Years Old and Younger,28
2005,Taylor,11 Years Old and Older,3
2004,Crawford,11 Years Old and Older,14
2007,Lucas,6 to 10 Years Old,11
2004,Bremer,11 Years Old and Older,22
2009,Black Hawk,5 Years Old and Younger,386
2014,Scott,6 to 10 Years Old,136
2015,Audubon,5 Years Old and Younger,10
2009,Monona,5 Years Old and Younger,17
2007,Plymouth,6 to 10 Years Old,14
2010,Pocahontas,11 Years Old and Older,12
2014,Clarke,6 to 10 Years Old,6
2011,Cherokee,5 Years Old and Younger,27
2009,Louisa,6 to 10 Years Old,12
2009,Wayne,5 Years Old and Younger,6
2010,Audubon,11 Years Old and Older,1
2005,Grundy,5 Years Old and Younger,7
2010,Clinton,11 Years Old and Older,67
2010,Cherokee,6 to 10 Years Old,10
2006,Floyd,5 Years Old and Younger,59
2015,Hardin,5 Years Old and Younger,24
2014,Wright,6 to 10 Years Old,13
2010,Jasper,11 Years Old and Older,39
2008,Warren,5 Years Old and Younger,73
2008,Butler,5 Years Old and Younger,17
2007,Wright,5 Years Old and Younger,44
2011,Monona,11 Years Old and Older,6
2006,Van Buren,11 Years Old and Older,8
2013,Louisa,5 Years Old and Younger,11
2008,Van Buren,5 Years Old and Younger,8
2009,Winneshiek,5 Years Old and Younger,17
2013,Black Hawk,11 Years Old and Older,115
2014,Pocahontas,5 Years Old and Younger,6
2005,Wapello,6 to 10 Years Old,107
2014,Clarke,5 Years Old and Younger,13
2012,Cass,6 to 10 Years Old,11
2006,Polk,6 to 10 Years Old,510
2007,Linn,6 to 10 Years Old,280
2007,Harrison,6 to 10 Years Old,20
2008,Wayne,5 Years Old and Younger,15
2005,Adair,11 Years Old and Older,13
2017,Bremer,11 Years Old and Older,14
2007,Bremer,6 to 10 Years Old,21
2017,Mills,6 to 10 Years Old,14
2007,Polk,5 Years Old and Younger,787
2008,Dickinson,11 Years Old and Older,19
2010,Van Buren,11 Years Old and Older,10
2008,Polk,6 to 10 Years Old,360
2006,Clay,11 Years Old and Older,24
2011,Marshall,6 to 10 Years Old,51
2009,Scott,6 to 10 Years Old,174
2004,Palo Alto,6 to 10 Years Old,11
2016,Cedar,5 Years Old and Younger,17
2006,Allamakee,11 Years Old and Older,14
2006,Clay,6 to 10 Years Old,27
2007,Ringgold,11 Years Old and Older,9
2007,Osceola,5 Years Old and Younger,11
2013,Appanoose,5 Years Old and Younger,25
2005,Palo Alto,6 to 10 Years Old,10
2005,Appanoose,6 to 10 Years Old,24
2012,Dallas,11 Years Old and Older,42
2009,Linn,5 Years Old and Younger,443
2014,Poweshiek,6 to 10 Years Old,19
2005,Delaware,11 Years Old and Older,26
2006,Wapello,5 Years Old and Younger,179
2015,Davis,6 to 10 Years Old,7
2005,Dallas,5 Years Old and Younger,98
2007,Fremont,6 to 10 Years Old,11
2009,Palo Alto,5 Years Old and Younger,36
2017,Cedar,6 to 10 Years Old,19
2014,Wayne,5 Years Old and Younger,3
2004,Buchanan,5 Years Old and Younger,42
2009,Montgomery,5 Years Old and Younger,25
2017,Hamilton,11 Years Old and Older,11
2007,Greene,5 Years Old and Younger,18
2015,Webster,6 to 10 Years Old,25
2006,Washington,5 Years Old and Younger,46
2005,Fayette,5 Years Old and Younger,38
2004,Wayne,5 Years Old and Younger,7
2010,Wright,5 Years Old and Younger,60
2010,Woodbury,5 Years Old and Younger,313
2006,Mills,5 Years Old and Younger,33
2010,Greene,11 Years Old and Older,12
2004,Carroll,5 Years Old and Younger,29
2013,Page,11 Years Old and Older,26
2013,Davis,11 Years Old and Older,13
2011,Cerro Gordo,6 to 10 Years Old,60
2017,Mitchell,5 Years Old and Younger,7
2004,Monona,6 to 10 Years Old,8
2008,Louisa,5 Years Old and Younger,19
2013,Benton,5 Years Old and Younger,31
2005,Dickinson,5 Years Old and Younger,28
2007,Lyon,6 to 10 Years Old,13
2012,Palo Alto,6 to 10 Years Old,12
2009,Linn,6 to 10 Years Old,260
2005,Cerro Gordo,6 to 10 Years Old,71
2007,Cherokee,11 Years Old and Older,7
2014,Mahaska,5 Years Old and Younger,31
2007,Mahaska,6 to 10 Years Old,25
2005,Hancock,11 Years Old and Older,11
2009,Humboldt,6 to 10 Years Old,14
2005,Grundy,11 Years Old and Older,10
2011,Black Hawk,11 Years Old and Older,140
2007,Wapello,6 to 10 Years Old,67
2013,Johnson,11 Years Old and Older,56
2010,Jones,11 Years Old and Older,10
2008,Washington,6 to 10 Years Old,8
2016,Dickinson,5 Years Old and Younger,22
2009,Audubon,6 to 10 Years Old,5
2011,Hancock,11 Years Old and Older,3
2012,Sioux,11 Years Old and Older,15
2009,Wapello,5 Years Old and Younger,181
2017,Mitchell,11 Years Old and Older,9
2008,OBrien,6 to 10 Years Old,20
2011,Madison,11 Years Old and Older,6
2014,Harrison,11 Years Old and Older,2
2008,Cerro Gordo,6 to 10 Years Old,41
2015,OBrien,5 Years Old and Younger,12
2008,Fayette,5 Years Old and Younger,47
2013,Winnebago,5 Years Old and Younger,23
2014,Monroe,5 Years Old and Younger,10
2004,Iowa,6 to 10 Years Old,10
2006,Cedar,5 Years Old and Younger,29
2010,Cedar,6 to 10 Years Old,14
2013,Winnebago,11 Years Old and Older,7
2010,Madison,5 Years Old and Younger,22
2009,Van Buren,6 to 10 Years Old,7
2008,Wapello,5 Years Old and Younger,149
2011,Crawford,6 to 10 Years Old,18
2014,Dallas,11 Years Old and Older,31
2016,Muscatine,6 to 10 Years Old,52
2012,Black Hawk,5 Years Old and Younger,288
2009,Dickinson,11 Years Old and Older,12
2014,Montgomery,5 Years Old and Younger,14
2009,Jefferson,6 to 10 Years Old,15
2009,Decatur,11 Years Old and Older,7
2007,Butler,5 Years Old and Younger,22
2006,Van Buren,6 to 10 Years Old,11
2005,Henry,5 Years Old and Younger,58
2012,Sac,5 Years Old and Younger,12
2013,Cerro Gordo,11 Years Old and Older,41
2013,Monona,5 Years Old and Younger,12
2008,Monona,5 Years Old and Younger,9
2014,Harrison,6 to 10 Years Old,6
2006,Greene,5 Years Old and Younger,16
2008,Carroll,5 Years Old and Younger,45
2009,Adams,5 Years Old and Younger,6
2012,Van Buren,11 Years Old and Older,10
2007,Monona,6 to 10 Years Old,6
2013,Howard,11 Years Old and Older,2
2007,Johnson,11 Years Old and Older,72
2016,Osceola,6 to 10 Years Old,10
2011,Black Hawk,6 to 10 Years Old,158
2005,Buena Vista,11 Years Old and Older,10
2005,Mills,11 Years Old and Older,6
2013,Cedar,11 Years Old and Older,12
2011,Tama,11 Years Old and Older,26
2011,Jones,6 to 10 Years Old,20
2008,Worth,11 Years Old and Older,6
2012,Buena Vista,5 Years Old and Younger,57
2012,Jackson,11 Years Old and Older,15
2006,Emmet,6 to 10 Years Old,21
2008,Buena Vista,5 Years Old and Younger,28
2006,Howard,5 Years Old and Younger,14
2008,Keokuk,5 Years Old and Younger,21
2013,Dickinson,6 to 10 Years Old,19
2013,Tama,11 Years Old and Older,20
2014,Carroll,6 to 10 Years Old,14
2013,Crawford,6 to 10 Years Old,17
2011,Marion,5 Years Old and Younger,33
2011,Grundy,6 to 10 Years Old,5
2012,Jackson,5 Years Old and Younger,21
2010,Buchanan,6 to 10 Years Old,18
2009,Boone,6 to 10 Years Old,36
2005,Pottawattamie,6 to 10 Years Old,123
2004,Fremont,11 Years Old and Older,4
2007,Grundy,6 to 10 Years Old,12
2009,Henry,11 Years Old and Older,25
2016,Winnebago,6 to 10 Years Old,1
2009,Fayette,5 Years Old and Younger,39
2013,Guthrie,11 Years Old and Older,8
2004,Cass,5 Years Old and Younger,35
2013,Hardin,11 Years Old and Older,35
2008,Palo Alto,6 to 10 Years Old,8
2012,Cass,11 Years Old and Older,13
2010,Jefferson,5 Years Old and Younger,41
2012,Wright,5 Years Old and Younger,48
2009,Adair,6 to 10 Years Old,9
2011,Jasper,11 Years Old and Older,43
2009,Tama,5 Years Old and Younger,56
2007,Hardin,11 Years Old and Older,10
2004,Clinton,11 Years Old and Older,42
2010,Harrison,6 to 10 Years Old,17
2017,Ringgold,6 to 10 Years Old,4
2005,Des Moines,5 Years Old and Younger,104
2007,Scott,11 Years Old and Older,138
2012,Ringgold,5 Years Old and Younger,6
2005,Bremer,11 Years Old and Older,19
2015,Sioux,6 to 10 Years Old,17
2008,Floyd,5 Years Old and Younger,50
2004,Story,5 Years Old and Younger,103
2011,Poweshiek,6 to 10 Years Old,18
2011,Carroll,11 Years Old and Older,9
2008,Henry,6 to 10 Years Old,11
2007,Cass,11 Years Old and Older,15
2013,Jones,6 to 10 Years Old,12
2010,Delaware,6 to 10 Years Old,13
2012,Lyon,6 to 10 Years Old,6
2004,Worth,11 Years Old and Older,11
2010,Grundy,5 Years Old and Younger,8
2009,Ida,6 to 10 Years Old,3
2007,Appanoose,6 to 10 Years Old,16
2005,Tama,6 to 10 Years Old,22
2009,Lyon,6 to 10 Years Old,11
2014,Cass,5 Years Old and Younger,26
2005,Webster,5 Years Old and Younger,130
2004,Wright,11 Years Old and Older,19
2007,Black Hawk,5 Years Old and Younger,435
2014,Marion,6 to 10 Years Old,16
2011,Wapello,5 Years Old and Younger,117
2005,Greene,6 to 10 Years Old,7
2004,Hardin,6 to 10 Years Old,18
2004,Shelby,11 Years Old and Older,4
2004,Mills,6 to 10 Years Old,20
2005,Allamakee,5 Years Old and Younger,37
2017,Jones,6 to 10 Years Old,11
2008,Union,5 Years Old and Younger,18
2011,Pottawattamie,11 Years Old and Older,91
2007,Jackson,5 Years Old and Younger,18
2013,Union,6 to 10 Years Old,32
2012,Ringgold,11 Years Old and Older,4
2007,Worth,11 Years Old and Older,13
2017,Hardin,5 Years Old and Younger,27
2006,Shelby,6 to 10 Years Old,9
2010,Wapello,5 Years Old and Younger,130
2012,Sioux,6 to 10 Years Old,17
2007,Audubon,6 to 10 Years Old,10
2004,Marshall,6 to 10 Years Old,69
2011,Linn,11 Years Old and Older,164
2014,Clayton,5 Years Old and Younger,7
2009,Greene,5 Years Old and Younger,13
2017,Mills,5 Years Old and Younger,20
2017,Calhoun,5 Years Old and Younger,12
2015,Adair,5 Years Old and Younger,5
2017,Madison,5 Years Old and Younger,25
2011,Monroe,11 Years Old and Older,9
2017,Van Buren,6 to 10 Years Old,4
2016,Madison,6 to 10 Years Old,8
2013,Howard,6 to 10 Years Old,6
2017,Lee,11 Years Old and Older,44
2004,Howard,6 to 10 Years Old,11
2010,Ida,5 Years Old and Younger,18
2007,Palo Alto,6 to 10 Years Old,20
2012,Adair,11 Years Old and Older,2
2015,Bremer,6 to 10 Years Old,12
2008,Harrison,6 to 10 Years Old,10
2012,Des Moines,11 Years Old and Older,30
2008,Keokuk,6 to 10 Years Old,9
2016,Cerro Gordo,11 Years Old and Older,31
2014,Benton,6 to 10 Years Old,14
2012,Clarke,5 Years Old and Younger,26
2007,Humboldt,6 to 10 Years Old,5
2004,Scott,5 Years Old and Younger,392
2013,Monona,6 to 10 Years Old,7
2008,Montgomery,6 to 10 Years Old,16
2014,Butler,6 to 10 Years Old,5
2009,Fayette,11 Years Old and Older,27
2007,Floyd,6 to 10 Years Old,32
2011,Sioux,5 Years Old and Younger,24
2016,Kossuth,5 Years Old and Younger,7
2009,Poweshiek,6 to 10 Years Old,21
2007,Carroll,11 Years Old and Older,20
2008,Delaware,5 Years Old and Younger,14
2009,Wright,11 Years Old and Older,20
2009,Mahaska,5 Years Old and Younger,50
2014,Washington,5 Years Old and Younger,19
2015,Black Hawk,6 to 10 Years Old,113
2010,Black Hawk,6 to 10 Years Old,154
2012,Henry,5 Years Old and Younger,32
2004,Woodbury,5 Years Old and Younger,258
2013,Mahaska,5 Years Old and Younger,63
2016,Montgomery,6 to 10 Years Old,16
2004,Wright,5 Years Old and Younger,27
2006,Kossuth,5 Years Old and Younger,36
2010,Lyon,5 Years Old and Younger,8
2017,Webster,6 to 10 Years Old,37
2011,Page,5 Years Old and Younger,46
2007,Wayne,5 Years Old and Younger,7
2010,Jackson,6 to 10 Years Old,30
2004,Jefferson,5 Years Old and Younger,25
2017,Palo Alto,5 Years Old and Younger,16
2014,Linn,6 to 10 Years Old,138
2004,Louisa,5 Years Old and Younger,22
2008,Cherokee,11 Years Old and Older,6
2005,Marion,5 Years Old and Younger,39
2017,Woodbury,6 to 10 Years Old,201
2004,Des Moines,5 Years Old and Younger,124
2006,Marshall,11 Years Old and Older,39
2014,Mahaska,6 to 10 Years Old,8
2007,Buchanan,6 to 10 Years Old,14
2009,Butler,6 to 10 Years Old,16
2012,Des Moines,6 to 10 Years Old,42
2007,Tama,5 Years Old and Younger,32
2017,Lyon,6 to 10 Years Old,10
2017,Tama,6 to 10 Years Old,25
2012,Pocahontas,5 Years Old and Younger,19
2005,Howard,5 Years Old and Younger,18
2006,Clarke,5 Years Old and Younger,29
2012,Mitchell,5 Years Old and Younger,8
2010,Johnson,6 to 10 Years Old,103
2004,Dubuque,11 Years Old and Older,63
2017,Pottawattamie,6 to 10 Years Old,126
2017,Lucas,11 Years Old and Older,8
2005,Monroe,6 to 10 Years Old,21
2010,Page,11 Years Old and Older,13
2008,Appanoose,5 Years Old and Younger,45
2007,Marion,5 Years Old and Younger,41
2005,Union,5 Years Old and Younger,31
2014,Humboldt,5 Years Old and Younger,10
2017,Taylor,5 Years Old and Younger,22
2013,Adams,5 Years Old and Younger,20
2005,Sac,5 Years Old and Younger,12
2016,Van Buren,6 to 10 Years Old,0
2009,Washington,5 Years Old and Younger,32
2010,Humboldt,5 Years Old and Younger,22
2013,Hancock,6 to 10 Years Old,7
2017,Jefferson,5 Years Old and Younger,44
2005,Muscatine,11 Years Old and Older,51
2006,Howard,11 Years Old and Older,16
2011,Clay,6 to 10 Years Old,18
2007,Kossuth,5 Years Old and Younger,15
2013,Allamakee,6 to 10 Years Old,12
2017,Dickinson,6 to 10 Years Old,9
2004,Wapello,5 Years Old and Younger,123
2012,Linn,5 Years Old and Younger,368
2017,Polk,11 Years Old and Older,357
2013,Warren,11 Years Old and Older,44
2010,Muscatine,11 Years Old and Older,44
2008,Pottawattamie,11 Years Old and Older,65
2013,Tama,6 to 10 Years Old,17
2004,Butler,5 Years Old and Younger,20
2010,Hancock,6 to 10 Years Old,12
2011,Marion,11 Years Old and Older,23
2012,Decatur,6 to 10 Years Old,8
2009,Chickasaw,6 to 10 Years Old,14
2008,Buchanan,11 Years Old and Older,13
2009,Louisa,11 Years Old and Older,14
2006,Poweshiek,11 Years Old and Older,21
2005,Montgomery,6 to 10 Years Old,17
2015,Benton,6 to 10 Years Old,11
2012,Hancock,6 to 10 Years Old,12
2004,Mahaska,6 to 10 Years Old,36
2011,Montgomery,11 Years Old and Older,15
2004,Linn,11 Years Old and Older,199
2005,Osceola,5 Years Old and Younger,8
2004,Adams,11 Years Old and Older,3
2004,Wright,6 to 10 Years Old,15
2017,Lucas,6 to 10 Years Old,7
2008,Adair,5 Years Old and Younger,10
2007,Allamakee,11 Years Old and Older,11
2016,Clarke,11 Years Old and Older,10
2010,Jones,5 Years Old and Younger,26
2005,Lee,6 to 10 Years Old,43
2004,Des Moines,6 to 10 Years Old,69
2008,Butler,11 Years Old and Older,10
2011,Butler,5 Years Old and Younger,18
2010,Palo Alto,5 Years Old and Younger,19
2005,Monroe,5 Years Old and Younger,31
2005,Palo Alto,5 Years Old and Younger,18
2009,Hardin,6 to 10 Years Old,25
2010,Davis,5 Years Old and Younger,13
2008,Boone,5 Years Old and Younger,36
2010,Hancock,11 Years Old and Older,7
2005,Ringgold,11 Years Old and Older,4
2012,Webster,11 Years Old and Older,60
2012,Davis,11 Years Old and Older,4
2014,Delaware,5 Years Old and Younger,13
2011,Union,11 Years Old and Older,15
2017,Plymouth,11 Years Old and Older,14
2014,Buena Vista,5 Years Old and Younger,13
2011,Louisa,11 Years Old and Older,17
2006,Guthrie,6 to 10 Years Old,7
2009,Washington,6 to 10 Years Old,8
2010,Shelby,6 to 10 Years Old,12
2017,Buena Vista,11 Years Old and Older,20
2013,Adair,6 to 10 Years Old,5
2013,Kossuth,5 Years Old and Younger,22
2008,Calhoun,5 Years Old and Younger,7
2017,Butler,11 Years Old and Older,10
2004,Floyd,11 Years Old and Older,17
2005,Audubon,11 Years Old and Older,11
2005,Carroll,11 Years Old and Older,18
2012,Cedar,11 Years Old and Older,12
2011,Buena Vista,11 Years Old and Older,19
2011,Jackson,11 Years Old and Older,15
2008,Lee,11 Years Old and Older,37
2008,Louisa,6 to 10 Years Old,21
2017,Wapello,5 Years Old and Younger,80
2014,Hardin,11 Years Old and Older,16
2016,Woodbury,11 Years Old and Older,88
2011,Clarke,5 Years Old and Younger,20
2006,Madison,6 to 10 Years Old,10
2005,Calhoun,5 Years Old and Younger,16
2008,Sioux,5 Years Old and Younger,19
2007,Warren,11 Years Old and Older,39
2009,Clarke,6 to 10 Years Old,11
2005,Guthrie,11 Years Old and Older,15
2005,Audubon,5 Years Old and Younger,10
